pmid,y_true,y_pred,correct
21558951,0,0,1
22349635,0,0,1
22440363,0,1,0
15703931,0,0,1
10473855,0,0,1
9444542,0,1,0
17403428,0,1,0
11759976,0,0,1
23234860,0,1,0
19615731,0,1,0
12607120,0,0,1
16319544,0,2,0
18847643,0,2,0
21756515,2,1,0
22867778,2,0,0
15381614,2,1,0
11034241,2,1,0
19542542,2,0,0
17919952,1,1,1
23999452,1,1,1
17916877,1,0,0
26449554,1,1,1
19406119,1,0,0
15962678,1,0,0
11555508,1,1,1
15939071,1,1,1
23972333,1,0,0
10783841,1,0,0
8985020,1,1,1
20828836,1,1,1
16195477,1,1,1
26867834,1,1,1
17335331,1,1,1
10808977,1,0,0
16498158,1,0,0
24958650,1,1,1
9767546,1,1,1
18955431,1,0,0
15222284,1,1,1
17220021,1,1,1
24793469,1,1,1
24315783,1,1,1
19309468,1,1,1
24142776,1,1,1
2224269,1,1,1
12153648,0,0,1
21402341,0,0,1
22521460,0,1,0
18096128,0,1,0
16241924,0,1,0
24450673,0,0,1
22900881,0,1,0
27909738,0,1,0
20842006,0,1,0
19268855,0,2,0
24652474,0,2,0
25417760,0,2,0
23147106,0,1,0
17595200,0,1,0
17008699,0,1,0
12142826,0,0,1
12068831,0,0,1
22849512,2,1,0
26686513,2,2,1
17179167,2,0,0
22302658,2,1,0
22954812,2,1,0
24183388,2,0,0
27908583,1,1,1
19757704,1,1,1
22301406,1,1,1
17089900,1,1,1
17224424,1,2,0
26298839,1,1,1
16956164,1,1,1
21084567,1,1,1
19299238,1,1,1
25747932,1,1,1
14713788,1,0,0
24695920,1,1,1
25406780,1,1,1
22658587,1,0,0
15065192,1,1,1
17914515,1,1,1
22108230,1,2,0
26104852,1,1,1
26285789,1,0,0
21801416,1,1,1
17259061,1,1,1
25819796,1,0,0
25186850,1,1,1
19054501,1,1,1
26194560,1,1,1
27405146,1,2,0
17610439,1,0,0
20382292,1,0,0
26784147,0,0,1
11888773,0,0,1
25982163,0,1,0
24827404,0,1,0
20497880,0,1,0
23002947,0,0,1
23601294,0,0,1
11053064,0,1,0
16510651,0,2,0
15137012,0,0,1
18439500,0,0,1
26079501,0,0,1
18375490,0,1,0
10593212,0,2,0
19683101,0,2,0
16647887,0,0,1
17489316,2,1,0
21914194,2,2,1
20101129,2,1,0
17578985,2,1,0
28011794,2,1,0
19711462,2,1,0
24866606,1,1,1
19322056,1,0,0
24964725,1,0,0
9854965,1,2,0
24901580,1,1,1
9003088,1,1,1
17453263,1,1,1
23735520,1,0,0
25255719,1,0,0
21900017,1,0,0
21368683,1,0,0
12947068,1,1,1
27884344,1,1,1
9191526,1,1,1
12913347,1,1,1
26383908,1,1,1
15954832,1,1,1
17551944,1,1,1
25432938,1,1,1
25443385,1,2,0
19852337,1,0,0
12612531,1,1,1
18005142,1,0,0
21881325,1,0,0
25155638,1,1,1
24019262,1,0,0
11149643,1,0,0
26999038,1,1,1
23598835,0,0,1
27288618,0,0,1
27991408,0,0,1
21593045,0,1,0
26237424,0,0,1
22768311,0,2,0
25501465,0,0,1
22972546,0,1,0
19198736,0,0,1
11340218,0,0,1
14612308,0,1,0
10732884,0,0,1
26044262,0,1,0
19444061,0,2,0
17462393,0,0,1
9602458,0,1,0
18403944,2,1,0
19145527,2,1,0
21080127,2,2,1
25987398,2,0,0
17562682,2,2,1
1571683,2,0,0
22205377,1,1,1
16151770,1,1,1
11601252,1,0,0
23453079,1,0,0
10411439,1,1,1
10811329,1,1,1
9569972,1,1,1
27896825,1,0,0
12684740,1,1,1
22324545,1,1,1
24153338,1,1,1
14978612,1,0,0
23792130,1,0,0
24487044,1,1,1
25489696,1,0,0
10577397,1,2,0
20684175,1,0,0
19653482,1,2,0
21398266,1,0,0
18403945,1,0,0
25885219,1,1,1
24172579,1,0,0
27448572,1,0,0
19131405,1,1,1
24519615,1,1,1
26222664,1,1,1
17312514,1,0,0
27050505,1,1,1
22519710,0,2,0
19643525,0,1,0
23052500,0,0,1
8200238,0,0,1
10575390,0,0,1
24973051,0,0,1
17502203,0,0,1
9446993,0,2,0
15112004,0,1,0
20530150,0,0,1
22186742,0,0,1
10927144,0,0,1
24074624,0,1,0
12855939,0,1,0
18801797,0,2,0
24446763,0,0,1
15787677,2,1,0
20871246,2,1,0
18800356,2,2,1
25636371,2,0,0
20082356,2,0,0
23860049,2,0,0
24606627,1,1,1
18948835,1,1,1
11566686,1,1,1
15483019,1,0,0
27928673,1,0,0
21739621,1,1,1
17295865,1,1,1
18269157,1,1,1
25168472,1,1,1
24433626,1,1,1
17096624,1,1,1
21618245,1,1,1
12690589,1,1,1
18575014,1,1,1
15800018,1,0,0
16428354,1,1,1
16968183,1,1,1
10759659,1,0,0
25218577,1,1,1
25691513,1,1,1
8262881,1,0,0
22428608,1,1,1
8017535,1,0,0
11776681,1,1,1
24748473,1,1,1
26363639,1,1,1
8111516,1,0,0
26175531,0,0,1
17559449,0,0,1
26133538,0,0,1
20304513,0,1,0
25592625,0,0,1
25034219,0,0,1
23240452,0,1,0
16414216,0,0,1
24684514,0,0,1
15141797,0,0,1
23449952,0,1,0
21979183,0,1,0
24235894,0,1,0
16216859,0,0,1
19712912,0,1,0
16253970,0,0,1
15588538,0,2,0
17279467,2,1,0
24946973,2,1,0
17105833,2,2,1
11296674,2,2,1
16361634,2,1,0
25735444,2,2,1
17715311,1,0,0
15369037,1,0,0
24785562,1,1,1
24947183,1,0,0
15670262,1,0,0
24614851,1,1,1
23096188,1,2,0
22970993,1,1,1
20674150,1,1,1
21550158,1,1,1
15539888,1,2,0
18388848,1,1,1
25487603,1,1,1
19608436,1,0,0
14518645,1,0,0
15466981,1,0,0
28006766,1,1,1
21669959,1,1,1
23356465,1,2,0
8245806,1,1,1
20401819,1,2,0
9107172,1,2,0
26518378,1,1,1
15477551,1,1,1
25891436,1,1,1
24237112,1,1,1
11978239,1,1,1
28407529,0,0,1
21190419,0,0,1
15000338,0,0,1
17323047,0,1,0
18799291,0,1,0
15631914,0,0,1
21592383,0,0,1
19459018,0,2,0
23088164,0,1,0
20488985,0,2,0
25274085,0,1,0
15687156,0,1,0
22813804,0,0,1
24630333,0,1,0
9044116,0,1,0
23228527,0,1,0
20130378,0,1,0
14992556,2,1,0
27146470,2,0,0
22427593,2,2,1
26505821,2,2,1
12920330,2,1,0
17076590,2,1,0
16991071,1,1,1
18049437,1,1,1
24747511,1,1,1
19664156,1,1,1
21951591,1,1,1
16909975,1,1,1
25304452,1,1,1
23587089,1,1,1
27690714,1,1,1
26701174,1,1,1
23048048,1,0,0
22990761,1,0,0
26085176,1,1,1
26452334,1,1,1
22411435,1,1,1
16097998,1,2,0
21172844,1,0,0
21745056,1,0,0
9745063,1,2,0
24783217,1,1,1
19230985,1,1,1
10966337,1,1,1
26399179,1,2,0
11380492,1,0,0
21198823,0,1,0
11413427,0,1,0
16564683,0,1,0
25859857,0,0,1
11838307,0,0,1
18784527,0,1,0
10757151,0,0,1
26859535,0,1,0
25957366,0,0,1
25985014,0,2,0
11334578,0,0,1
23389866,0,0,1
20594006,0,0,1
20353735,0,1,0
24267613,0,0,1
25787073,0,1,0
24434052,2,0,0
28177278,1,1,1
20813740,1,1,1
27184293,2,1,0
9381529,1,1,1
17429333,0,2,0
21569408,0,0,1
27832831,0,1,0
22979954,1,1,1
24599411,1,2,0
