pmid,y_true,y_pred,correct
25604390,yes,yes,1
14968373,yes,yes,1
10135926,yes,yes,1
19419587,yes,yes,1
23379759,yes,yes,1
19923859,yes,yes,1
22656647,yes,yes,1
12163782,yes,yes,1
21658267,yes,yes,1
9199905,yes,yes,1
23375036,yes,yes,1
24495711,yes,yes,1
26820719,yes,no,0
26516021,yes,yes,1
20064872,yes,yes,1
15708048,yes,yes,1
29112560,yes,yes,1
23949294,yes,yes,1
10877371,yes,yes,1
23870157,yes,yes,1
18540901,yes,yes,1
21420186,yes,yes,1
12484580,yes,yes,1
23321509,yes,yes,1
26907557,yes,yes,1
22644412,yes,yes,1
25521278,yes,yes,1
21845457,yes,yes,1
18565233,yes,yes,1
17894828,yes,yes,1
10490564,yes,yes,1
7860319,yes,yes,1
18568239,yes,yes,1
9488747,yes,yes,1
20354380,yes,yes,1
24245816,yes,yes,1
11481599,yes,yes,1
27217036,yes,yes,1
23283159,yes,yes,1
19593710,yes,yes,1
18693227,yes,yes,1
21346501,yes,yes,1
17910536,yes,yes,1
26304701,yes,yes,1
18616781,yes,yes,1
9483814,yes,yes,1
12848629,yes,no,0
25280365,yes,yes,1
25311479,yes,yes,1
16046584,yes,yes,1
26418441,yes,yes,1
22683044,yes,yes,1
26200172,yes,yes,1
20121683,yes,yes,1
18222909,yes,yes,1
12221908,yes,yes,1
24014276,yes,yes,1
24270957,yes,yes,1
18507507,yes,yes,1
16772913,yes,yes,1
12172698,yes,yes,1
26460153,yes,yes,1
12419743,yes,yes,1
25725704,yes,yes,1
25669733,yes,yes,1
24614789,yes,no,0
24996865,yes,yes,1
18928979,yes,yes,1
25699562,yes,yes,1
24577079,no,yes,0
24669960,no,no,1
15502995,no,yes,0
21214884,no,no,1
24476003,no,no,1
22758782,no,yes,0
14627582,no,yes,0
24666444,no,no,1
18496363,no,yes,0
12040336,no,yes,0
14631523,no,yes,0
21823940,no,yes,0
17971187,no,no,1
27642458,no,yes,0
12970636,no,yes,0
11138995,no,yes,0
15388567,no,yes,0
19142546,no,no,1
8921484,no,no,1
26209118,no,no,1
22668852,no,no,1
18019905,no,yes,0
18378554,no,yes,0
24073931,no,yes,0
7547656,no,no,1
28359277,no,yes,0
18667100,no,yes,0
10781708,no,yes,0
22522271,no,no,1
11955750,no,yes,0
26126304,no,yes,0
27338535,no,yes,0
24799031,no,no,1
18319270,no,yes,0
21789019,no,yes,0
11567820,no,yes,0
10966943,no,no,1
8199520,no,yes,0
21889895,no,yes,0
26113007,no,no,1
17208539,no,yes,0
20538207,no,yes,0
9603166,no,yes,0
21194998,no,yes,0
21252642,no,yes,0
16678696,no,yes,0
20549895,no,yes,0
16418930,no,yes,0
8521557,no,yes,0
16809243,no,yes,0
10798511,no,yes,0
10834864,no,no,1
16962519,no,yes,0
19575104,no,yes,0
24809662,no,yes,0
20602101,no,no,1
26852225,no,yes,0
19398929,no,no,1
25614468,no,yes,0
11926574,no,yes,0
10973547,no,yes,0
26471488,no,yes,0
19520213,no,yes,0
23677366,no,yes,0
17342562,no,no,1
16296668,no,yes,0
17054994,no,no,1
26556589,no,yes,0
15052394,no,yes,0
22513023,no,no,1
15919266,no,yes,0
15095519,no,yes,0
12006913,no,yes,0
8738894,no,yes,0
21431987,no,yes,0
22154448,no,no,1
15053041,no,no,1
22365295,no,no,1
19546588,no,yes,0
7482275,no,no,1
24698298,no,yes,0
18274917,no,yes,0
21946341,no,yes,0
23568387,no,no,1
21256734,no,yes,0
22534881,no,yes,0
8566975,no,no,1
23761381,no,no,1
22668712,no,yes,0
22023714,no,yes,0
22504515,no,no,1
21164063,no,no,1
18359123,no,yes,0
16827975,no,yes,0
24922528,no,no,1
15774570,no,yes,0
20736887,no,yes,0
11483547,no,no,1
9542484,no,yes,0
18708308,no,no,1
18435678,no,yes,0
23455575,no,no,1
22537902,no,yes,0
18926458,no,no,1
12090319,no,yes,0
12380309,no,yes,0
27989969,no,yes,0
25752912,no,no,1
26536001,no,no,1
21849531,no,yes,0
16872243,no,yes,0
23571528,no,yes,0
19481382,no,yes,0
23621776,no,no,1
22227642,no,yes,0
23025584,no,no,1
11862129,no,no,1
22236315,no,yes,0
21361755,no,yes,0
18719011,no,yes,0
11438275,no,no,1
16778275,no,no,1
17051586,no,no,1
24061619,no,no,1
22233470,no,no,1
23497210,no,no,1
25488308,no,yes,0
22382608,no,no,1
19237087,no,no,1
10381996,no,yes,0
9100537,no,yes,0
23422012,no,yes,0
22876568,no,yes,0
17445978,no,no,1
20608141,no,no,1
23177368,no,no,1
8847047,no,no,1
22011946,no,yes,0
27394685,no,yes,0
23794696,no,yes,0
23076787,no,no,1
19854401,no,yes,0
14652839,no,no,1
7664228,no,no,1
17062234,no,yes,0
24449622,no,yes,0
12070552,no,no,1
19836806,no,no,1
19913785,no,no,1
24739448,no,no,1
24625433,no,yes,0
16403186,no,yes,0
10375486,no,no,1
17032327,no,no,1
27643961,no,yes,0
22042121,no,yes,0
17274051,no,no,1
27096199,no,yes,0
7497757,no,yes,0
21459725,no,yes,0
27040842,no,yes,0
20187289,no,yes,0
21712147,no,yes,0
10456814,no,no,1
17192736,no,no,1
27757987,no,yes,0
12769830,no,no,1
22251324,no,yes,0
28196511,no,yes,0
18284441,maybe,yes,0
18802997,maybe,yes,0
17621202,maybe,yes,0
11411430,maybe,yes,0
26708803,maybe,no,0
25079920,maybe,maybe,1
25793749,maybe,maybe,1
19103915,maybe,yes,0
11867487,maybe,maybe,1
12630042,maybe,yes,0
19468282,maybe,maybe,1
16538201,maybe,yes,0
20971618,maybe,maybe,1
24336869,maybe,yes,0
20197761,maybe,maybe,1
16968876,maybe,yes,0
26778755,maybe,yes,0
18568290,maybe,yes,0
25371231,maybe,yes,0
25394614,maybe,no,0
11570976,maybe,yes,0
16816043,maybe,yes,0
12805495,maybe,yes,0
25571931,maybe,maybe,1
19578820,maybe,maybe,1
18243752,maybe,maybe,1
11458136,maybe,yes,0
12790890,maybe,no,0
18714572,maybe,maybe,1
25103647,maybe,yes,0
24995509,maybe,maybe,1
27044366,maybe,maybe,1
26606599,maybe,yes,0
17076091,maybe,yes,0
26037986,maybe,yes,0
22491528,maybe,yes,0
24591144,maybe,no,0
19351635,maybe,yes,0
20337202,maybe,yes,0
23149821,maybe,yes,0
18235194,maybe,yes,0
16392897,maybe,yes,0
17940352,maybe,maybe,1
27615402,maybe,no,0
25779009,maybe,maybe,1
12407608,maybe,yes,0
14599616,maybe,yes,0
10223070,maybe,yes,0
20736672,maybe,yes,0
25277731,maybe,yes,0
17691856,maybe,yes,0
16735905,maybe,yes,0
19694846,maybe,yes,0
25007420,maybe,yes,0
26134053,maybe,yes,0
